trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.95, 'e': 0.8750555348152298}",25,14,20.26839400585862,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.8698155474893048}",25,17,16.360968120070105,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.95, 'e': 0.8644843137107058}",30,20,20.22948981748685,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.95, 'e': 0.8590631488815945}",25,3,37.51366319819943,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.95, 'e': 0.8535533905932737}",20,3,21.53179178804505,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.8479563982961571}",25,14,22.403082659016103,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.95, 'e': 0.8422735529643444}",20,14,10.52509879569601,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.95, 'e': 0.8365062567548867}",35,16,32.48651354883463,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.95, 'e': 0.8306559326618259}",20,13,-8.606052734507283,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.95, 'e': 0.8247240241650918}",25,13,20.370551384756443,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.8187119948743449}",20,16,5.339331082734559,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.8126213281678526}",30,0,48.351052391159364,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.8064535268264883}",30,17,14.857611086043834,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.95, 'e': 0.8002101126629421}",25,10,28.283758141928676,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.95, 'e': 0.7938926261462367}",25,8,34.918208409268175,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.95, 'e': 0.7875026260216393}",20,0,36.996273192559634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.95, 'e': 0.7810416889260654}",35,17,31.705327798283946,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.95, 'e': 0.7745114089990659}",30,12,29.116910268979005,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.95, 'e': 0.7679133974894983}",25,18,13.274214644994306,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.95, 'e': 0.7612492823579744}",20,16,6.645046285242573,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.95, 'e': 0.7545207078751857}",20,0,30.06844483595588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.95, 'e': 0.7477293342162038}",30,18,22.515288245975373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.95, 'e': 0.7408768370508576}",20,3,26.554136649754685,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.95, 'e': 0.7339649071302867}",20,3,28.680855797346734,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.95, 'e': 0.7269952498697734}",20,8,-19.631918986862267,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
